count,TweetId,TimeStamp,Tweet,LocationName_User,Latitude,Longitude,BoundingPoint,User Mentions,URLs,Hashtags,Fav_Count,Followers_Count
,,,,,,,,,,,,
1,1.22991E+18,18-02-2020 23:30,"#onedayonestep day 14, #RenewableEnergy will have a significant contribution in reducing #carbonemission. Chose a utility company that generating its power from solar or wind energy. #ClimateEmergency #ClimateAction #ClimateChange https://t.co/e1MxREIAcz",,NA,NA,NA,['OneDayOneStep4'],[],"['carbonemission', 'RenewableEnergy', 'onedayonestep']",23,42
,,,,,,,,,,,,
2,1.22989E+18,18-02-2020 21:50,Data centers generate the same amount of carbon emissions as global airlines https://t.co/tMtSHwfLCu via @thenextweb #DataCenter #CarbonEmission #ClimateChange #Australia,"Sydney, Australia ",NA,NA,NA,['thenextweb'],['https://t.co/tMtSHwfLCu'],"['Australia', 'ClimateChange', 'CarbonEmission', 'DataCenter']",1,581
,,,,,,,,,,,,
3,1.22984E+18,18-02-2020 18:30,"#onedayonestep day 14, #RenewableEnergy will have a significant contribution in reducing #carbonemission. Chose a utility company that generating its power from solar or wind energy. #ClimateEmergency #ClimateAction #ClimateChange https://t.co/e1MxREIAcz","London, England",NA,NA,NA,['OneDayOneStep4'],[],"['carbonemission', 'RenewableEnergy', 'onedayonestep']",6371,393
,,,,,,,,,,,,
4,1.22981E+18,18-02-2020 16:45,"#onedayonestep day 14, #RenewableEnergy will have a significant contribution in reducing #carbonemission. Chose a utility company that generating its power from solar or wind energy. #ClimateEmergency #ClimateAction #ClimateChange https://t.co/e1MxREIAcz",Italy,NA,NA,NA,['OneDayOneStep4'],[],"['carbonemission', 'RenewableEnergy', 'onedayonestep']",9,245
,,,,,,,,,,,,
5,1.22981E+18,18-02-2020 16:45,"#onedayonestep day 14, #RenewableEnergy will have a significant contribution in reducing #carbonemission. Chose a utility company that generating its power from solar or wind energy. #ClimateEmergency #ClimateAction #ClimateChange https://t.co/e1MxREIAcz","Toronto, Ontario",NA,NA,NA,['OneDayOneStep4'],[],"['carbonemission', 'RenewableEnergy', 'onedayonestep']",0,449
,,,,,,,,,,,,
6,1.22981E+18,18-02-2020 16:44,"#onedayonestep day 14, #RenewableEnergy will have a significant contribution in reducing #carbonemission. Chose a utility company that generating its power from solar or wind energy. #ClimateEmergency #ClimateAction #ClimateChange https://t.co/e1MxREIAcz",,NA,NA,NA,['OneDayOneStep4'],[],"['carbonemission', 'RenewableEnergy', 'onedayonestep']",26,2
,,,,,,,,,,,,
7,1.22981E+18,18-02-2020 16:43,"#onedayonestep day 14, #RenewableEnergy will have a significant contribution in reducing #carbonemission. Chose a utility company that generating its power from solar or wind energy. #ClimateEmergency #ClimateAction #ClimateChange https://t.co/e1MxREIAcz",,NA,NA,NA,[],[],"['ClimateChange', 'ClimateAction', 'ClimateEmergency', 'carbonemission', 'RenewableEnergy', 'onedayonestep']",38,83
,,,,,,,,,,,,
8,1.22978E+18,18-02-2020 15:01,"Delta, the world’s second-largest airline, reports it plans to be carbon neutral, and that it will spend $1 billion over the next decade to reduce its environmental footprint.
#CarbonEmission

 https://t.co/Di3KbZgiN1",Just here,NA,NA,NA,['ZeroAvia'],[],[],174,222
