count,TweetId,TimeStamp,Tweet,LocationName_User,Latitude,Longitude,BoundingPoint,User Mentions,URLs,Hashtags,Fav_Count,Followers_Count
16,1.22967E+18,18-02-2020 07:30,So true - and a critical part of having any hope of achieving #parisaccord goals. Carney Says Business Must Come Clean Quickly on Climate https://t.co/u5M0HAuUCV,,NA,NA,NA,[],['https://t.co/u5M0HAuUCV'],['parisaccord'],37,318
,,,,,,,,,,,,
17,1.22966E+18,18-02-2020 06:33,Our beautiful planet.  Just a reminder to consider her as you go to the votng booth. #VoteBlueNoMatterWho2020 #voteforearth #parisaccord @TomSteyer https://t.co/iSu7zV88Li,"Santa Monica, CA ",NA,NA,NA,['TomSteyer'],[],"['parisaccord', 'voteforearth', 'VoteBlueNoMatterWho2020']",3330,536
,,,,,,,,,,,,
18,1.22961E+18,18-02-2020 03:21,"The #Quebec Separatist @BlocQuebecois is willing to sacrifice #Alberta, to meet the #ParisAccord 🙄🙄

The party that doesn't want to be part of #Canada, that benefits the most from Alberta's generosity $$, is willing to bury Alberta.

#Wexit #abpoli #skpoli #cdnpoli https://t.co/oKaGYqDq6N","Mississauga, Ontario",NA,NA,NA,"['BlocQuebecois', 'RealCanadianPa1']",[],"['ParisAccord', 'Alberta', 'Quebec']",48219,241
,,,,,,,,,,,,
19,1.22959E+18,18-02-2020 02:28,"The #Quebec Separatist @BlocQuebecois is willing to sacrifice #Alberta, to meet the #ParisAccord 🙄🙄

The party that doesn't want to be part of #Canada, that benefits the most from Alberta's generosity $$, is willing to bury Alberta.

#Wexit #abpoli #skpoli #cdnpoli https://t.co/oKaGYqDq6N",Great White North,NA,NA,NA,"['BlocQuebecois', 'RealCanadianPa1']",[],"['ParisAccord', 'Alberta', 'Quebec']",4498,4235
,,,,,,,,,,,,
20,1.22959E+18,18-02-2020 02:23,"The #Quebec Separatist @BlocQuebecois is willing to sacrifice #Alberta, to meet the #ParisAccord 🙄🙄

The party that doesn't want to be part of #Canada, that benefits the most from Alberta's generosity $$, is willing to bury Alberta.

#Wexit #abpoli #skpoli #cdnpoli https://t.co/oKaGYqDq6N",,NA,NA,NA,"['BlocQuebecois', 'RealCanadianPa1']",[],"['ParisAccord', 'Alberta', 'Quebec']",3969,131
,,,,,,,,,,,,
21,1.22959E+18,18-02-2020 02:20,"The #Quebec Separatist @BlocQuebecois is willing to sacrifice #Alberta, to meet the #ParisAccord 🙄🙄

The party that doesn't want to be part of #Canada, that benefits the most from Alberta's generosity $$, is willing to bury Alberta.

#Wexit #abpoli #skpoli #cdnpoli https://t.co/oKaGYqDq6N","Calgary, Alberta",NA,NA,NA,"['BlocQuebecois', 'RealCanadianPa1']",[],"['ParisAccord', 'Alberta', 'Quebec']",6368,212
,,,,,,,,,,,,
22,1.22959E+18,18-02-2020 02:11,"The #Quebec Separatist @BlocQuebecois is willing to sacrifice #Alberta, to meet the #ParisAccord 🙄🙄

The party that doesn't want to be part of #Canada, that benefits the most from Alberta's generosity $$, is willing to bury Alberta.

#Wexit #abpoli #skpoli #cdnpoli https://t.co/oKaGYqDq6N",,NA,NA,NA,['BlocQuebecois'],['https://t.co/oKaGYqDq6N'],"['cdnpoli', 'skpoli', 'abpoli', 'Wexit', 'Canada', 'ParisAccord', 'Alberta', 'Quebec']",406,1827
,,,,,,,,,,,,
23,1.22956E+18,18-02-2020 00:28,"I've been ABDUCTED by @GreenATLiens 👽  part of their #MotivationMonday series: I assist these cute green guys to help their planet &amp; ours. Thank you😁  #greenatliens as u message on 🌍 &amp; evrywhr how to be #greenminded.
#ClimateChange
#ParisAccord #GreenNewDeal #GreenMonday 🖖🏾 https://t.co/irRvnQghVQ","NYC/Fla, USA",NA,NA,NA,['GreenATLiens'],[],"['GreenMonday', 'GreenNewDeal', 'ParisAccord', 'ClimateChange', 'greenminded', 'greenatliens', 'MotivationMonday']",20021,1139
,,,,,,,,,,,,
24,1.22954E+18,17-02-2020 22:54,@Maria_Garcia_US @SenTedCruz Why the heck is every other nation on the planet in the #ParisAccord and not the US? It’s got something to do with the ignoramus in the White House.,United States,NA,NA,NA,"['SenTedCruz', 'Maria_Garcia_US']",[],['ParisAccord'],704,30
,,,,,,,,,,,,
25,1.2295E+18,17-02-2020 20:31,"@BardsOfWar Anyone else think the World is Changing?
Thank You @realDonaldTrump.
China, NK, Russia, Iran, #Brexit, 
#ParisAccord, Iran Deal,","Anaheim, Ca",NA,NA,NA,"['realDonaldTrump', 'BardsOfWar']",[],"['ParisAccord', 'Brexit']",24852,2911
,,,,,,,,,,,,
26,1.22949E+18,17-02-2020 19:31,This is worth the watch... Simple explanation on how #elites wanted to tax #WeThePeople so they can becomewealthier! #ClimateChange #parisaccord #bribery #CORRUPTION https://t.co/nEyfosgCor,"New Jersey, USA",NA,NA,NA,[],['https://t.co/nEyfosgCor'],"['CORRUPTION', 'bribery', 'parisaccord', 'ClimateChange', 'WeThePeople', 'elites']",15866,192607
,,,,,,,,,,,,
27,1.22946E+18,17-02-2020 17:52,"@proxcee Mr Trump's IN GOOD company. 
#BestDamnPresidentEver45
The President with A World VIEW NOT A placater an Chief Executive. The #DealMaker. NOT #QuidProQuo someone a PAST president.
#QuidProQuoBigObummer #IranNukeDeal #ParisAccord ""a pen and a ph",U.S.A ,NA,NA,NA,['proxcee'],[],"['ParisAccord', 'IranNukeDeal', 'QuidProQuoBigObummer', 'QuidProQuo', 'DealMaker', 'BestDamnPresidentEver45']",7622,1113
,,,,,,,,,,,,
28,1.22945E+18,17-02-2020 16:52,"#CANADA. ...

AMERICA BEAT THEIR EMISSIONS 
OFFERED TO #PARISACCORD https://t.co/1XkILnMZii","Santa Clarita, CA",NA,NA,NA,['Comoncentscourt'],[],"['PARISACCORD', 'CANADA']",5295,434
,,,,,,,,,,,,
29,1.22945E+18,17-02-2020 16:40,"#CANADA. ...

AMERICA BEAT THEIR EMISSIONS 
OFFERED TO #PARISACCORD https://t.co/1XkILnMZii",Galaxy Q... Canada..I generally don't answer DM from Earthlings,NA,NA,NA,[],['https://t.co/1XkILnMZii'],"['PARISACCORD', 'CANADA']",71671,3694
,,,,,,,,,,,,
30,1.22937E+18,17-02-2020 11:28,"French reforms: Why France is resisting Macron's push on pensions 
#France
#Protest
#Riots
#Police
#EiffelTower
#Paris
#ClimateChange
#ParisAccord
#EmmanuelMacron
#PensionReform
#GasTax
#Europe
#Science
#YellowVestMovement
#LaborUnions
https://t.co/pAnINmgUPF",North America,NA,NA,NA,[],['https://t.co/pAnINmgUPF'],"['LaborUnions', 'YellowVestMovement', 'Science', 'Europe', 'GasTax', 'PensionReform', 'EmmanuelMacron', 'ParisAccord', 'ClimateChange', 'Paris', 'EiffelTower', 'Police', 'Riots', 'Protest', 'France']",28124,6919
,,,,,,,,,,,,
31,1.22926E+18,17-02-2020 04:41,Finally somebody standing up for #Canada! So good to see! @jimkarahalios #CanPoli #CPCLeadership #ParisAccord https://t.co/uvbskcskef,Canada,NA,NA,NA,['jimkarahalios'],[],"['ParisAccord', 'CPCLeadership', 'CanPoli', 'Canada']",34897,2171
,,,,,,,,,,,,
32,1.22926E+18,17-02-2020 04:23,"TRIGGERED! Donald Trump Saves the Planet, Leads World in Lowering CO2 Emissions https://t.co/ggxte958Ih

#ClimateHoax #parisaccord #climatescience #KAG2020",,NA,NA,NA,['annvandersteel'],['https://t.co/ggxte958Ih'],['ClimateHoax'],25759,2705
,,,,,,,,,,,,
33,1.22925E+18,17-02-2020 03:46,"TRIGGERED! Donald Trump Saves the Planet, Leads World in Lowering CO2 Emissions https://t.co/ggxte958Ih

#ClimateHoax #parisaccord #climatescience #KAG2020","Nebraska, USA",NA,NA,NA,['annvandersteel'],['https://t.co/ggxte958Ih'],['ClimateHoax'],152508,15949
,,,,,,,,,,,,
34,1.22923E+18,17-02-2020 02:20,"TRIGGERED! Donald Trump Saves the Planet, Leads World in Lowering CO2 Emissions https://t.co/ggxte958Ih

#ClimateHoax #parisaccord #climatescience #KAG2020",United States,NA,NA,NA,['annvandersteel'],['https://t.co/ggxte958Ih'],['ClimateHoax'],77809,187
,,,,,,,,,,,,
